[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.696839732320374, 236.52975690473002, 228.47020088015381, 5.143445482774839, 87.434695601737531],
[17.702423907757115, 240.7092471890399, 232.50727848649296, 5.343920522366555, 95.476063392348294],
[17.709124918281208, 247.13923224182437, 238.71816711163015, 5.66187616544051, 105.12564571081151],
[17.716384346348971, 250.67572402085582, 242.13415585545562, 5.839712918920723, 115.57853158038898],
[17.724202191960408, 254.21221579988728, 245.55014459928105, 6.025760095546857, 126.83755567006233],
[17.727552697222453, 256.78420982100107, 248.03450004933595, 6.157888001691477, 131.80235611893966],
[17.733695290202871, 258.07020683155793, 249.27667777436335, 6.23204603445619, 140.89946711106535],
[17.739837883183288, 260.32070160003252, 251.45048879316141, 6.367233974638406, 149.74474511723037],
[17.745980476163702, 260.96370010531098, 252.07157765567513, 6.410392771963444, 158.58994929208455],
[17.752681486687795, 261.28519935795021, 252.38212208693199, 6.440169708090764, 168.2394246742993],
[17.759382497211885, 260.64220085267175, 251.76103322441827, 6.4178079699683845, 177.89057964714891],
[17.767758760366995, 259.35620384211484, 250.51885549939081, 6.365744809964471, 189.94968405001214],
[17.772226100716392, 257.7487075789187, 248.96613334310649, 6.279533049631921, 196.38351743357111],
[17.777810276153133, 255.81971206308339, 247.10286675556534, 6.182519579580863, 204.4263766804213],
[17.783394451589874, 252.28322028405194, 243.68687801173991, 5.99498942787509, 212.32001029532881],
[17.787303374395592, 251.31872252613425, 242.7552447179693, 5.942853398515042, 217.7032833696656],
[17.791770714744988, 247.7822307471028, 239.33925597414387, 5.744223041353978, 224.13483016245601],
[17.796796472638054, 245.85323523126749, 237.47598938660272, 5.629952930908965, 231.37102684937383],
[17.804614318249492, 241.35224569431836, 233.12836734900668, 5.369873085722271, 242.63220647227297],
[17.807964823511536, 239.10175092584382, 230.9545563302087, 5.233697780442723, 247.45584816198686],
[17.81466583403563, 236.52975690473002, 228.47020088015381, 5.082865769751588, 257.10316040204356],
[17.818574756841347, 232.67176587305937, 224.74366770507152, 4.8689352630175735, 262.73443597672042],
[17.826951019996461, 229.77827259930635, 221.94876782375977, 4.7091678870771485, 274.79573795862672]]
